Tahun,Organik,Kertas,Plastik,Logam,Kain,Kaca,Lainnya
2008,4752,781.5,732,72,127.5,927,927
2009,4767.4,781.5,732,108.75,71.25,912,912
2010,3516,731,1641,147,115,596,596
2011,780,162,174,64.5,52.5,203,203
2012,758.7,157.8,,31.8,24.9,482.7,482.7
2013,780,27,17.4,64.5,52.5,348,319.5
2014,832,172.8,185.6,68.8,56,227.2,196.8
2015,,,,,,0,0
2016,502.4,515.2,28.8,68.8,57.6,371.2,340.8
2017,832,172.8,188.8,68.8,56,227.2,196.8
2018,775.84,209.92,298.72,14.4,76,225.04,65.76
2019,849.83,229.94,327.21,15.95,83.25,246.42,72.03
2020,841.78,227.76,324.28,15.62,82.46,244.09,71.35
2021,802.64,217.17,276.43,14.9,78.63,265.51,195.98
2022,773.18,209.16,266.23,14.35,75.72,255.54,188.59
